merge_key,name,times_scores_citations,the_score,qs_score,teaching,subjects_offered,nid,aliases,international_students,disabled,city,year,unaccredited,size,students_to_staff_ratio,research_quality,female_to_male_ratio,country,international_outlook,research_environment,industry_impact,region,closed,acronym,student_population,type,research_output,overall_score
kogakuinuniversity,Kogakuin University,26.3,15.0905,,17.2,"Mechanical & Aerospace Engineering,General Engineering,Chemistry,Art, Performing Arts & Design,Physics & Astronomy,Mathematics & Statistics,Architecture,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Computer Science,Electrical & Electronic Engineering",589220.0,Kogakuin University KU KUTE－TOKYO,2%,False,,2026.0,False,,18.1,14.3,19 : 81,Japan,26.1,8.1,35.5,,False,,"6,553",,,
kohatuniversityofscienceandtechnology,Kohat University of Science and Technology,49.0,29.31,,17.1,"Agriculture & Forestry,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemistry,Computer Science,Law,Languages, Literature & Linguistics,Physics & Astronomy,Veterinary Science,Sociology,Mathematics & Statistics,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Biological Sciences,Education,Other Health,Psychology",721620.0,Kohat University of Science and Technology,0%,False,,2026.0,False,,45.4,51.0,25 : 75,Pakistan,57.7,13.0,21.7,,False,,"10,175",,,
kohsaruniversitymurree,,,,,,"Politics & International Studies (incl Development Studies),Computer Science,Chemistry,Sociology,Biological Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,Business & Management,Mathematics & Statistics,Art, Performing Arts & Design,Psychology",724543.0,Kohsar University Murree,,False,,,False,,,,,,,,,,False,,,,,
kokshetaustateuniversity,,,,,,Other Health,718761.0,Kokshetau State University,,False,,,False,,,,,,,,,,False,,,,,
kokugakuinuniversity,,,,,,"Art, Performing Arts & Design,Law,Accounting & Finance,Education,History, Philosophy & Theology,Business & Management,Archaeology,Languages, Literature & Linguistics,Economics & Econometrics",587802.0,Kokugakuin University,,False,,,False,,,,,,,,,,False,,,,,
konanuniversity,,,,,,"Computer Science,Law,Physics & Astronomy,Economics & Econometrics,Accounting & Finance,History, Philosophy & Theology,Communication & Media Studies,Languages, Literature & Linguistics,Sociology,Mathematics & Statistics,Chemistry,Biological Sciences,Business & Management,Psychology",609576.0,Konan University,,False,,,False,,,,,,,,,,False,,,,,
konanwomen’suniversity,,,,,,"Languages, Literature & Linguistics,Education,Communication & Media Studies,Other Health,Psychology,Sociology",610134.0,Konan Women’s University,,False,,,False,,,,,,,,,,False,,,,,
konkukuniversity,Konkuk University,49.1,45.0345,,34.2,"Chemistry,Politics & International Studies (incl Development Studies),Education,Economics & Econometrics,Veterinary Science,Psychology,Law,Mathematics & Statistics,Chemical Engineering,Architecture,Other Health,Art, Performing Arts & Design,Civil Engineering,History, Philosophy & Theology,Sport Science,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Biological Sciences,Communication & Media Studies,Sociology,Business & Management,General Engineering,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering",950.0,Konkuk University,22%,False,Seoul,2026.0,False,L,25.4,50.2,,South Korea,63.7,38.8,96.4,Asia,False,,"11,274",Private,Very High,
konyatechnicaluniversity,Konya Technical University,,22.355999999999995,,19.4,,,,5%,,,2026.0,,,22.2,37.8,29 : 71,Turkey,25.0,9.4,17.3,,,,"10,365",,,
kookminuniversity,Kookmin University,20.1,27.9595,,28.6,"History, Philosophy & Theology,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance,Architecture,Agriculture & Forestry,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Chemistry,Communication & Media Studies,Mechanical & Aerospace Engineering,Business & Management,Psychology,Education,Art, Performing Arts & Design,Law,General Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Sport Science,Sociology,Archaeology",624924.0,Kookmin University,13%,False,Seoul,2026.0,False,L,18.5,27.0,49 : 51,South Korea,38.1,21.3,59.7,Asia,False,,"15,777",Private,High,
koreaadvancedinstituteofscienceandtechnology,Korea Advanced Institute of Science and Technology (KAIST),77.4,71.2865,,66.7,"History, Philosophy & Theology,Chemistry,Mathematics & Statistics,Computer Science,Law,Education,Sport Science,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Accounting & Finance,Biological Sciences,Psychology,General Engineering,Art, Performing Arts & Design,Architecture,Archaeology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Veterinary Science,Medicine & Dentistry,Chemical Engineering,Languages, Literature & Linguistics,Business & Management,Other Health,Sociology",558.0,Korea Advanced Institute of Science and Technology (KAIST),11%,False,,2026.0,False,,11.9,82.4,24 : 76,South Korea,44.2,67.5,100.0,,False,KAIST,"10,728",,,
koreuniversityofenna,Kore University of Enna,71.3,32.222500000000004,,17.8,"Other Health,Civil Engineering,Medicine & Dentistry,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Languages, Literature & Linguistics,Sport Science,Psychology,Law,Education,Architecture,Sociology",638540.0,Kore University of Enna,1%,False,,2026.0,False,,16.8,57.8,72 : 28,Italy,41.3,16.6,43.0,,False,,"6,035",,,
koyauniversity,,,,,,"Medicine & Dentistry,Sociology,Chemical Engineering,Education,General Engineering,Chemistry,Civil Engineering,Politics & International Studies (incl Development Studies),Psychology,Physics & Astronomy,Architecture,Sport Science,Accounting & Finance,Computer Science,Communication & Media Studies,Business & Management,Other Health,Geography,Languages, Literature & Linguistics,Biological Sciences,Law,History, Philosophy & Theology,Mathematics & Statistics,Economics & Econometrics",709514.0,Koya University,,False,,,False,,,,,,,,,,False,,,,,
koçuniversity,Koç University,68.9,51.626,,34.6,"History, Philosophy & Theology,Medicine & Dentistry,Electrical & Electronic Engineering,Psychology,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,General Engineering,Biological Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Sociology,Accounting & Finance,Other Health,Business & Management,Chemical Engineering,Law,Computer Science,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Mechanical & Aerospace Engineering",875.0,Koç University koc,12%,False,Istanbul,2026.0,False,M,21.0,70.6,49 : 51,Turkey,59.2,41.9,91.2,Asia,False,,"7,111",Private,High,
kprinstituteofengineeringandtechnology,,,,,,"General Engineering,Computer Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",701282.0,KPR Institute of Engineering and Technology,,False,,,False,,,,,,,,,,False,,,,,
kumamotouniversity,Kumamoto University,40.9,33.95399999999999,,33.6,"Archaeology,Physics & Astronomy,Psychology,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemical Engineering,Law,Architecture,Biological Sciences,General Engineering,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Civil Engineering,Geography,Computer Science,Chemistry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Education",131520.0,Kumamoto University,6%,False,Kumamoto City,2026.0,False,M,9.5,41.3,39 : 61,Japan,37.0,19.3,82.0,Asia,False,,"9,401",Public,Very High,
kumasitechnicaluniversity,,,,,,"Agriculture & Forestry,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Chemical Engineering,Computer Science,Accounting & Finance,Mechanical & Aerospace Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Civil Engineering,Business & Management",725447.0,Kumasi Technical University,,False,,,False,,,,,,,,,,False,,,,,
kurdistanuniversityofmedicalsciences,Kurdistan University of Medical Sciences,67.6,38.885,,43.0,"Geology, Environmental, Earth & Marine Sciences,Other Health,Biological Sciences,Psychology,Medicine & Dentistry,Education",681865.0,Kurdistan University of Medical Sciences,7%,False,,2026.0,False,,7.0,65.8,46 : 54,Iran,33.6,10.4,23.1,,False,,"3,652",,,
kurskstatemedicaluniversity,,,,,,"Other Health,Medicine & Dentistry,Business & Management,Sociology,Biological Sciences,Psychology,Chemical Engineering",670614.0,Kursk State Medical University,,True,,,False,,,,,,,,,,False,,,,,
kurumeuniversity,Kurume University,48.4,31.7235,,28.6,"Languages, Literature & Linguistics,Other Health,Business & Management,Medicine & Dentistry,Accounting & Finance,Psychology,Law",609486.0,Kurume University,1%,False,,2026.0,False,,8.1,52.2,,Japan,23.7,13.3,49.8,,False,,"4,659",,,
kutaisiuniversity,,,,,,"Economics & Econometrics,Medicine & Dentistry,Business & Management,Law,Accounting & Finance",725990.0,Kutaisi University,,False,,,False,,,,,,,,,,False,,,,,
kuwaitcollegeofscienceandtechnology,,,,,,"Electrical & Electronic Engineering,General Engineering,Computer Science",725033.0,Kuwait College of Science and Technology (KCST),,False,,,False,,,,,,,,,,False,,,,,
kuwaituniversity,Kuwait University,55.5,30.565,,18.0,"Architecture,Communication & Media Studies,Business & Management,Computer Science,Chemistry,Education,General Engineering,Mechanical & Aerospace Engineering,Geography,Medicine & Dentistry,Mathematics & Statistics,Law,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Chemical Engineering,Accounting & Finance,Electrical & Electronic Engineering,Sociology,Civil Engineering,Politics & International Studies (incl Development Studies)",589247.0,Kuwait University,13%,False,Kuwait City,2026.0,False,XL,18.3,53.7,73 : 27,Kuwait,60.2,11.4,33.1,Asia,False,,"29,943",Public,Medium,
kwamenkrumahuniversityofscienceandtechnology,Kwame Nkrumah University of Science and Technology,50.8,30.581,,17.7,"History, Philosophy & Theology,Electrical & Electronic Engineering,Veterinary Science,Art, Performing Arts & Design,Sociology,Architecture,Mechanical & Aerospace Engineering,Sport Science,Computer Science,Business & Management,Mathematics & Statistics,Accounting & Finance,Chemistry,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Civil Engineering,Geography,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Communication & Media Studies,Other Health,Biological Sciences,Law,Chemical Engineering,Education",699439.0,Kwame Nkrumah University of Science and Technology,1%,False,,2026.0,False,,46.8,53.3,39 : 61,Ghana,46.5,16.6,26.7,,False,,"76,838",,,
kwanseigakuinuniversity,Kwansei Gakuin University,15.4,19.529,,23.2,"Law,Economics & Econometrics,Architecture,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Mechanical & Aerospace Engineering,Education,History, Philosophy & Theology,Computer Science,Accounting & Finance,Chemical Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Biological Sciences,Geography,Psychology,Communication & Media Studies,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Sociology,Civil Engineering,Electrical & Electronic Engineering,Chemistry,Business & Management",587742.0,Kwansei Gakuin University,4%,False,,2026.0,False,,20.7,18.9,50 : 50,Japan,37.0,10.4,30.6,,False,,"25,457",,,
kyivnationaleconomicuniversity,,,,,,"Business & Management,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Psychology,Economics & Econometrics,Sociology,Law,Education,Geography",131452.0,Kyiv National Economic University,,False,,,False,,,,,,,,,,False,,,,,
kyivnationaluniversityofconstructionandarchitecture,Kyiv National University of Construction and Architecture,,25.063,,22.6,,,,3%,,,2026.0,,,7.1,41.4,42 : 58,Ukraine,34.2,9.1,19.3,,,,"6,697",,,
kyoaigakuenuniversity,,,,,,"Computer Science,Economics & Econometrics,Languages, Literature & Linguistics,Education,Mathematics & Statistics,Psychology,Communication & Media Studies,Art, Performing Arts & Design,Geography,Sport Science,Business & Management,History, Philosophy & Theology,Sociology,Archaeology,Politics & International Studies (incl Development Studies),Law,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",587931.0,Kyoai Gakuen University,,False,,,False,,,,,,,,,,False,,,,,
