merge_key,name,times_scores_citations,the_score,qs_score,teaching,subjects_offered,nid,aliases,international_students,disabled,city,year,unaccredited,size,students_to_staff_ratio,research_quality,female_to_male_ratio,country,international_outlook,research_environment,industry_impact,region,closed,acronym,student_population,type,research_output,overall_score
universityofoxford,University of Oxford,99.0,98.21,99.5,97.2,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",468.0,University of Oxford,43%,False,Oxford,2026.0,False,L,10.4,97.7,52 : 48,United Kingdom,96.4,100.0,99.9,Europe,False,,"22,005",Public,Very High,167.989
massachusettsinstituteoftechnology,Massachusetts Institute of Technology,99.7,97.6735,100.0,99.2,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",471.0,Massachusetts Institute of Technology,33%,False,Cambridge,2026.0,False,M,7.7,99.6,43 : 57,United States,91.9,95.3,100.0,North America,False,,"11,703",Private,Very High,167.90615000000003
universityofcambridge,University of Cambridge,98.0,97.2065,98.7,96.2,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",470.0,University of Cambridge,38%,False,Cambridge,2026.0,False,L,11.3,97.1,50 : 50,United Kingdom,96.3,99.9,87.6,Europe,False,,"21,045",Public,Very high,166.44585
stanforduniversity,Stanford University,99.6,97.151,98.7,97.5,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",467.0,Stanford University,25%,False,Stanford,2026.0,False,L,5.9,99.5,48 : 52,United States,83.9,97.4,100.0,North America,False,,"17,422",Private,Very High,166.3959
harvarduniversity,Harvard University,99.4,97.051,98.0,95.9,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",466.0,Harvard University,27%,False,Cambridge,2026.0,False,L,10.1,98.9,53 : 47,United States,88.3,100.0,86.7,North America,False,,"22,680",Private,Very High,165.7459
californiainstituteoftechnology,California Institute of Technology,95.9,96.3165,97.4,96.4,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",128779.0,California Institute of Technology caltech,33%,False,Pasadena,2026.0,False,S,6.7,96.8,39 : 61,United States,87.9,97.4,100.0,North America,False,,"2,401",Private,Very High,164.60485000000003
imperialcollegelondon,Imperial College London,98.6,94.689,97.3,90.6,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",472.0,Imperial College London,60%,False,London,2026.0,False,L,12.1,98.0,43 : 57,United Kingdom,98.2,94.9,91.9,Europe,False,,"21,340",Public,Very High,163.0601
princetonuniversity,Princeton University,98.8,97.211,88.6,98.2,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",469.0,Princeton University,23%,False,Princeton,2026.0,False,M,8.2,99.0,47 : 53,United States,85.4,97.3,98.0,North America,False,,"8,739",Private,Very High,158.3699
yaleuniversity,Yale University,97.7,94.081,90.2,94.6,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",475.0,Yale University,24%,False,New Haven,2026.0,False,M,6.2,97.2,53 : 47,United States,81.4,94.5,87.6,North America,False,,"14,884",Private,Very High,156.8329
nationaluniversityofsingapore,National University of Singapore,95.4,89.67199999999998,93.9,78.6,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,History, Philosophy & Theology,Civil Engineering,Geography,Archaeology,Sociology,Mechanical & Aerospace Engineering,Biological Sciences,Accounting & Finance,Architecture,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Law,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies",504.0,National University of Singapore nus,31%,False,Singapore,2026.0,False,XL,21.0,95.1,49 : 51,Singapore,92.8,93.1,99.9,Asia,False,,"35,558",Public,Very High,155.82479999999998
ucl,UCL,98.6,87.4425,95.4,77.8,"Medicine & Dentistry,Sport Science,Law,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Education,Architecture,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Chemistry",481.0,UCL ucl UCL,63%,False,London,2026.0,False,XL,12.1,97.6,60 : 40,United Kingdom,97.5,85.9,74.7,Europe,False,,"47,520",Public,Very High,155.01825000000002
tsinghuauniversity,Tsinghua University,93.2,93.0305,89.0,95.9,"Mechanical & Aerospace Engineering,Sociology,Architecture,Civil Engineering,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Accounting & Finance,Archaeology,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Chemical Engineering,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Biological Sciences,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Sport Science,Communication & Media Studies",535.0,Tsinghua University Qinghua University Tsing hua University Qing hua University,11%,False,Beijing,2026.0,False,XL,10.8,93.9,,China,53.4,98.5,100.0,Asia,False,,"38,569",Public,Very High,154.92745000000002
universityofpennsylvania,University of Pennsylvania,97.6,90.80249999999998,90.7,88.1,"Other Health,Physics & Astronomy,Accounting & Finance,General Engineering,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Biological Sciences,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Architecture,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Psychology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Veterinary Science,Education,Chemical Engineering,Law,Business & Management,Computer Science,Communication & Media Studies",480.0,University of Pennsylvania,26%,False,Philadelphia,2026.0,False,L,6.6,96.1,55 : 45,United States,78.4,90.3,97.9,North America,False,,"22,422",Private,Very High,154.28224999999998
pekinguniversity,Peking University,87.2,92.2815,88.8,95.4,"History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Archaeology,Communication & Media Studies,Business & Management,Other Health,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Law,General Engineering,Geography,Biological Sciences,Psychology",514.0,Peking University,15%,False,Beijing,2026.0,False,XL,11.3,89.0,,China,67.3,97.9,100.0,Asia,False,,"35,659",Public,Very High,154.09335
columbiauniversity,Columbia University,97.4,89.4025,88.7,87.8,"Accounting & Finance,Chemical Engineering,Psychology,Computer Science,Sport Science,Architecture,Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Art, Performing Arts & Design,Chemistry,Biological Sciences,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Archaeology,Sociology,Law,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Other Health,Mathematics & Statistics,Agriculture & Forestry,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",476.0,Columbia University,42%,False,New York City,2026.0,False,L,5.6,95.9,,United States,83.7,87.8,74.8,North America,False,,"30,580",Private,Very High,151.42225000000002
cornelluniversity,Cornell University,97.6,89.45899999999999,88.3,85.9,"Electrical & Electronic Engineering,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Biological Sciences,Economics & Econometrics,Business & Management,Civil Engineering,Architecture,Law,Archaeology,Mathematics & Statistics,Psychology,Veterinary Science,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Physics & Astronomy",484.0,Cornell University,26%,False,Ithaca,2026.0,False,L,10.6,95.9,53 : 47,United States,83.5,90.6,70.3,North America,False,,"25,673",Private,Very High,151.1531
"universityofcalifornia,berkeley","University of California, Berkeley",99.0,94.406,82.5,87.3,"Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,Law,Agriculture & Forestry,Education,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Geography,Economics & Econometrics,Biological Sciences,Sociology,General Engineering,Physics & Astronomy,Business & Management",474.0,"University of California, Berkeley",25%,False,Berkeley,2026.0,False,XL,18.4,98.9,53 : 47,United States,83.9,99.0,99.5,North America,False,,"42,565",Public,Very High,150.9654
johnshopkinsuniversity,Johns Hopkins University,97.2,90.06049999999999,85.9,84.6,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Sociology,Other Health,Economics & Econometrics,General Engineering,Psychology,Mechanical & Aerospace Engineering,Chemistry,History, Philosophy & Theology,Chemical Engineering,Education,Biological Sciences,Accounting & Finance,Medicine & Dentistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",478.0,Johns Hopkins University,34%,False,Baltimore,2026.0,False,L,5.6,96.3,54 : 46,United States,81.9,89.9,100.0,North America,False,,"21,275",Private,Very High,149.77445
universityoftoronto,University of Toronto,92.8,88.45449999999998,85.3,78.2,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sport Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography,Other Health,Computer Science,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Law,Sociology,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Chemistry,Education,Archaeology,Agriculture & Forestry",483.0,University of Toronto,39%,False,Toronto,2026.0,False,XL,25.1,92.3,56 : 44,Canada,92.3,92.9,95.8,North America,False,,"80,394",Public,Very high,147.84904999999998
universityofmichigan-annarbor,University of Michigan-Ann Arbor,95.5,86.9295,86.2,85.7,"Chemical Engineering,Accounting & Finance,Archaeology,Economics & Econometrics,Sociology,Psychology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science,Biological Sciences,Agriculture & Forestry,Civil Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Architecture,Chemistry,Medicine & Dentistry,Other Health,Art, Performing Arts & Design,Communication & Media Studies,Law",482.0,University of Michigan-Ann Arbor,19%,False,Ann Arbor,2026.0,False,XL,8.4,93.8,52 : 48,United States,65.8,87.3,81.4,North America,False,,"48,449",Public,Very High,147.19655
"nanyangtechnologicaluniversity,singapore","Nanyang Technological University, Singapore",94.5,81.63999999999999,90.8,65.8,"General Engineering,Chemistry,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Sport Science,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Accounting & Finance",634.0,"Nanyang Technological University, Singapore NTU Nan yang",31%,False,Singapore,2026.0,False,L,17.3,95.2,47 : 53,Singapore,93.6,78.1,100.0,Asia,False,,"25,859",Public,Very High,146.11599999999999
"universityofcalifornia,losangeles","University of California, Los Angeles",96.4,89.48599999999999,79.7,86.0,"Electrical & Electronic Engineering,Veterinary Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Archaeology,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Medicine & Dentistry,Education,Law,Biological Sciences,Sport Science,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Civil Engineering,Other Health,Business & Management,Politics & International Studies (incl Development Studies),Geography,Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Sociology,Architecture,Languages, Literature & Linguistics,Computer Science,General Engineering",477.0,"University of California, Los Angeles",15%,False,Los Angeles,2026.0,False,XL,9.8,95.6,57 : 43,United States,69.2,91.4,93.5,North America,False,,"44,700",Public,Very High,144.29739999999998
theuniversityoftokyo,The University of Tokyo,67.8,83.52449999999999,86.2,94.7,"Other Health,Biological Sciences,Geography,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Mathematics & Statistics,Psychology,Architecture,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Veterinary Science,Law,Computer Science,Sport Science,Education,Medicine & Dentistry,Chemical Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Archaeology,Civil Engineering,Sociology,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Communication & Media Studies,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance",494.0,The University of Tokyo,18%,False,Tokyo,2026.0,False,L,10.2,68.2,,Japan,50.8,94.2,100.0,Asia,False,,"26,298",Public,Very High,144.13205
northwesternuniversity,Northwestern University,97.8,81.86900000000001,82.8,73.2,"Civil Engineering,Medicine & Dentistry,Sport Science,Law,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Communication & Media Studies,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Architecture,Biological Sciences,Geography,Languages, Literature & Linguistics,Chemical Engineering,Psychology,Computer Science,Chemistry,Accounting & Finance,General Engineering,Physics & Astronomy,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Politics & International Studies (incl Development Studies)",490.0,Northwestern University,24%,False,Evanston,2026.0,False,L,8.2,96.9,54 : 46,United States,71.0,76.0,96.0,North America,False,,"20,611",Private,Very High,139.9221
fudanuniversity,Fudan University,83.5,79.2785,82.6,79.5,"Archaeology,Other Health,Physics & Astronomy,Economics & Econometrics,General Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Communication & Media Studies,Mechanical & Aerospace Engineering,Education,Languages, Literature & Linguistics,Biological Sciences,Psychology,Computer Science,Sociology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies)",700.0,Fudan University,10%,False,Shanghai,2026.0,False,L,12.4,84.8,52 : 48,China,53.8,77.1,99.8,Asia,False,,"38,601",Public,Very High,137.43065
mcgilluniversity,McGill University,88.8,77.12699999999998,84.0,71.0,"Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Biological Sciences,Geography,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Economics & Econometrics,Architecture,Chemical Engineering,Psychology",492.0,McGill University,29%,False,Montreal,2026.0,False,L,11.7,86.2,61 : 39,Canada,89.2,70.8,77.5,North America,False,,"30,196",Public,Very High,136.6143
newyorkuniversity,New York University,94.9,81.61149999999999,78.9,74.6,"Medicine & Dentistry,Mathematics & Statistics,Sociology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,General Engineering,Art, Performing Arts & Design,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences,Chemistry,Other Health,Civil Engineering,Accounting & Finance,Psychology,Computer Science,Chemical Engineering,Education,Law,Architecture",508.0,New York University,46%,False,New York City,2026.0,False,XL,9.0,94.3,59 : 41,United States,74.1,78.5,74.8,North America,False,,"48,973",Private,Very High,136.57035000000002
carnegiemellonuniversity,Carnegie Mellon University,98.9,84.959,74.6,72.7,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Computer Science,Psychology,Mechanical & Aerospace Engineering,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy",485.0,Carnegie Mellon University,50%,False,Pittsburgh,2026.0,False,L,13.0,99.0,44 : 56,United States,84.3,83.0,85.5,North America,False,,"16,257",Private,Very High,136.1431
technicaluniversityofmunich,Technical University of Munich,90.0,83.44749999999999,75.6,71.9,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Business & Management,General Engineering,Mathematics & Statistics,Civil Engineering,Education,Physics & Astronomy,Computer Science,Agriculture & Forestry,Sociology,Chemical Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Other Health,Chemistry",552.0,Technical University of Munich,45%,False,Munich,2026.0,False,XL,40.7,91.3,37 : 63,Germany,83.4,84.8,100.0,Europe,False,,"35,755",Public,Very High,135.58275
dukeuniversity,Duke University,96.2,82.9195,75.2,78.7,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Civil Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Computer Science,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Communication & Media Studies",487.0,Duke University,25%,False,Durham,2026.0,False,L,4.4,95.4,55 : 45,United States,74.2,74.2,100.0,North America,False,,"17,871",Private,Very High,134.78755
thechineseuniversityofhongkong,The Chinese University of Hong Kong,,77.0595,80.3,63.2,,,,25%,,Hong Kong,2026.0,,L,18.2,97.9,,Hong Kong,92.1,63.8,90.9,Asia,,,"18,461",Public,Very High,133.59355
thehongkonguniversityofscienceandtechnology,The Hong Kong University of Science and Technology,92.9,74.123,82.2,56.2,"Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Other Health,Chemical Engineering,Economics & Econometrics,General Engineering,Sociology,Chemistry",526.0,The Hong Kong University of Science and Technology hkust,48%,False,Hong Kong,2026.0,False,M,14.3,95.6,,Hong Kong,97.2,60.6,100.0,Asia,False,,"8,912",Public,Very High,132.47070000000002
kyotouniversity,Kyoto University,60.0,73.961,82.3,86.4,"Mathematics & Statistics,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Psychology,Computer Science,Biological Sciences,History, Philosophy & Theology,Law,Electrical & Electronic Engineering,Architecture,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Accounting & Finance,Agriculture & Forestry,Geography,Other Health,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemical Engineering,Sociology,Sport Science,General Engineering,Business & Management,Communication & Media Studies",516.0,Kyoto University,11%,False,Kyoto,2026.0,False,L,9.0,56.9,25 : 75,Japan,45.6,82.7,100.0,Asia,False,,"21,617",Public,Very High,132.4049
zhejianguniversity,Zhejiang University,78.7,78.3135,77.4,75.0,"Other Health,Physics & Astronomy,Business & Management,Architecture,Veterinary Science,Law,History, Philosophy & Theology,Biological Sciences,Education,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sport Science,Geography,General Engineering,Chemistry,Accounting & Finance,Medicine & Dentistry,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Civil Engineering,Communication & Media Studies,Archaeology,Chemical Engineering,Politics & International Studies (incl Development Studies)",815.0,Zhejiang University ZJU Zhejiang University China research,14%,False,Hangzhou,2026.0,False,XL,13.0,84.3,,China,55.5,78.4,100.0,Asia,False,,"54,313",Public,Very High,132.40215
seoulnationaluniversity,Seoul National University,74.6,74.094,81.7,74.1,"Medicine & Dentistry,Archaeology,Physics & Astronomy,Psychology,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Veterinary Science,Law,General Engineering,Chemical Engineering,Geography,Art, Performing Arts & Design,Agriculture & Forestry,Education,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Accounting & Finance,Architecture,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Mathematics & Statistics,Economics & Econometrics",588.0,Seoul National University,16%,False,Seoul,2026.0,False,L,15.3,77.6,,South Korea,43.5,74.8,100.0,Asia,False,,"26,783",Public,Very High,132.0446
theuniversityofsydney,The University of Sydney,92.0,75.06,80.4,59.2,"Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Veterinary Science,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Law,Computer Science,Mathematics & Statistics,Psychology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Education,Archaeology,Chemical Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Geography,General Engineering,Sport Science,Sociology",522.0,The University of Sydney UniSyd,53%,False,Sydney,2026.0,False,XL,22.4,91.5,,Australia,88.2,67.5,98.9,Oceania,False,,"51,531",Public,Very High,131.87400000000002
universityofbritishcolumbia,University of British Columbia,90.5,77.02900000000001,77.1,64.1,"Business & Management,Economics & Econometrics,Geography,Education,Civil Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Agriculture & Forestry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Electrical & Electronic Engineering,Law,Mathematics & Statistics,Sport Science,General Engineering,Architecture,Medicine & Dentistry",486.0,University of British Columbia,34%,False,Vancouver,2026.0,False,XL,18.7,88.6,55 : 45,Canada,93.5,73.9,77.4,North America,False,,"60,112",Public,Very High,131.0061
shanghaijiaotonguniversity,Shanghai Jiao Tong University,75.4,77.5695,75.6,75.4,"Other Health,Medicine & Dentistry,Education,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Chemistry,Biological Sciences,Psychology,History, Philosophy & Theology,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Mathematics & Statistics,Law,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Computer Science,Economics & Econometrics,Chemical Engineering,Accounting & Finance,Sport Science,Architecture,General Engineering,Physics & Astronomy",801.0,Shanghai Jiao Tong University SJTU,11%,False,Shanghai,2026.0,False,XL,12.5,80.2,36 : 64,China,57.7,79.1,100.0,Asia,False,,"41,507",Public,Very High,130.29255
