Unnamed: 0,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
126,39534.0,26262.0,26262.0,530.0,520.0,660.0,630.0,1182.0,20.0,29.0,24.0,Harding University,Predominantly bachelor's-degree,Graduate
127,27385.0,8244.0,10620.0,,,,,,,,21.0,Henderson State University,Predominantly bachelor's-degree,Graduate
128,55013.0,38200.0,38200.0,560.0,563.0,668.0,680.0,1282.0,23.0,31.0,28.0,Hendrix College,Predominantly bachelor's-degree,Graduate
131,44710.0,31756.0,31756.0,550.0,520.0,690.0,650.0,1195.0,21.0,28.0,26.0,John Brown University,Predominantly bachelor's-degree,Graduate
134,14365.0,3216.0,4824.0,,,,,,,,,Arkansas State University Mid-South,Predominantly certificate-degree,Associate's
135,12094.0,2570.0,4250.0,,,,,,,,,Arkansas Northeastern College,Predominantly certificate-degree,Associate's
137,16846.0,3504.0,5592.0,,,,,,,,,North Arkansas College,Predominantly certificate-degree,Associate's
138,19487.0,6277.0,6277.0,,,,,,,,,Northwest Technical Institute,Predominantly certificate-degree,Certificate
139,47321.0,34500.0,34500.0,540.0,530.0,650.0,630.0,1211.0,22.0,28.0,,Ouachita Baptist University,Predominantly bachelor's-degree,Graduate
140,14579.0,3788.0,4388.0,,,,,,,,,Arkansas State University Three Rivers,Predominantly certificate-degree,Associate's
141,12069.0,3820.0,6820.0,,,,,,,,,Ozarka College,Predominantly certificate-degree,Associate's
142,38666.0,25950.0,25950.0,530.0,490.0,590.0,570.0,1105.0,20.0,25.0,21.0,University of the Ozarks,Predominantly bachelor's-degree,Bachelor's
143,15362.0,3648.0,4728.0,,,,,1020.0,17.0,22.0,,University of Arkansas Community College-Morrilton,Predominantly certificate-degree,Associate's
144,28136.0,13014.0,13014.0,,,,,,,,,Philander Smith University,Predominantly bachelor's-degree,Graduate
145,11567.0,3380.0,4550.0,,,,,,,,,Phillips Community College of the University of Arkansas,Predominantly certificate-degree,Associate's
146,22405.0,5200.0,8650.0,,,,,,,,,Southeast Arkansas College,Predominantly certificate-degree,Associate's
148,20811.0,6300.0,9450.0,,,,,,,,,University of Arkansas-Pulaski Technical College,Predominantly certificate-degree,Associate's
149,16307.0,3880.0,5560.0,,,,,,,,,University of Arkansas Hope-Texarkana,Predominantly certificate-degree,Associate's
150,13096.0,3696.0,4272.0,,,,,,,,,University of Arkansas Community College Rich Mountain,Predominantly certificate-degree,Associate's
153,21735.0,6246.0,6246.0,,,,,,,,,Shorter College,Predominantly associate's-degree,Associate's
154,33597.0,21070.0,21070.0,,,,,980.0,16.0,21.0,22.0,Williams Baptist University,Predominantly bachelor's-degree,Graduate
155,12932.0,3324.0,5532.0,,,,,,,,,South Arkansas College,Predominantly certificate-degree,Associate's
156,24951.0,9960.0,15690.0,450.0,425.0,565.0,540.0,1047.0,17.0,24.0,22.0,Southern Arkansas University Main Campus,Predominantly bachelor's-degree,Graduate
157,17294.0,5040.0,6480.0,,,,,,,,,Southern Arkansas University Tech,Predominantly certificate-degree,Associate's
159,19048.0,7334.0,12182.0,,,,,1050.0,18.0,23.0,,University of Arkansas-Fort Smith,Predominantly associate's-degree,Graduate
160,48036.0,30736.0,30736.0,,,,,,,,,Academy of Art University,Predominantly bachelor's-degree,Graduate
162,18185.0,1258.0,9898.0,,,,,,,,,College of Alameda,Predominantly associate's-degree,Associate's
163,13214.0,1156.0,9892.0,,,,,,,,,Allan Hancock College,Predominantly certificate-degree,Associate's
164,55682.0,40650.0,40650.0,,,,,,,,,American Academy of Dramatic Arts-Los Angeles,Predominantly associate's-degree,Associate's
169,16384.0,1288.0,12616.0,,,,,,,,,American River College,Predominantly associate's-degree,Associate's
170,12931.0,1124.0,9548.0,,,,,,,,,Antelope Valley Community College District,Predominantly associate's-degree,Bachelor's
171,75649.0,54170.0,54170.0,,,,,,,,,Art Center College of Design,Predominantly bachelor's-degree,Graduate
173,56313.0,44458.0,44458.0,515.0,468.0,615.0,623.0,1195.0,25.0,30.0,22.0,Azusa Pacific University,Predominantly bachelor's-degree,Graduate
174,22018.0,1430.0,11300.0,,,,,,,,,Bakersfield College,Predominantly associate's-degree,Bachelor's
175,22193.0,1104.0,9744.0,,,,,,,,,Barstow Community College,Predominantly associate's-degree,Associate's
177,13575.0,7220.0,7220.0,,,,,,,,,Bethesda University,Predominantly bachelor's-degree,Graduate
178,62757.0,48984.0,48984.0,600.0,560.0,700.0,670.0,1261.0,24.0,29.0,26.0,Biola University,Predominantly bachelor's-degree,Graduate
180,26732.0,12219.0,12219.0,,,,,,,,,Bryan University,Predominantly certificate-degree,Graduate
181,15509.0,1356.0,9276.0,,,,,,,,,Butte College,Predominantly certificate-degree,Associate's
183,24966.0,1270.0,9862.0,,,,,,,,,Cabrillo College,Predominantly associate's-degree,Associate's
184,54038.0,41228.0,41228.0,,,,,,,,,California Baptist University,Predominantly bachelor's-degree,Graduate
185,79776.0,60226.0,60226.0,,,,,,,,,California College of the Arts,Predominantly bachelor's-degree,Graduate
187,86886.0,65898.0,65898.0,,,,,,,,,California Institute of Technology,Predominantly bachelor's-degree,Graduate
188,68426.0,52560.0,52560.0,590.0,560.0,670.0,660.0,1266.0,24.0,31.0,26.0,California Lutheran University,Predominantly bachelor's-degree,Graduate
189,32265.0,13596.0,34665.0,,,,,,,,,California Polytechnic State University-San Luis Obispo,Predominantly bachelor's-degree,Graduate
191,19522.0,8090.0,20690.0,,,,,,,,,California State University-Bakersfield,Predominantly bachelor's-degree,Graduate
192,19739.0,8246.0,20846.0,,,,,,,,,California State University-Stanislaus,Predominantly bachelor's-degree,Graduate
193,17427.0,8093.0,20693.0,,,,,,,,,California State University-San Bernardino,Predominantly bachelor's-degree,Graduate
194,23955.0,7780.0,20380.0,,,,,,,,,California State Polytechnic University-Pomona,Predominantly bachelor's-degree,Graduate
195,26283.0,8472.0,21072.0,,,,,,,,,California State University-Chico,Predominantly bachelor's-degree,Graduate
196,23191.0,7449.0,20049.0,,,,,,,,,California State University-Dominguez Hills,Predominantly bachelor's-degree,Graduate
197,20095.0,7350.0,19950.0,,,,,,,,,California State University-Fresno,Predominantly bachelor's-degree,Graduate
198,18269.0,7470.0,20070.0,,,,,,,,,California State University-Fullerton,Predominantly bachelor's-degree,Graduate
199,22850.0,7583.0,20183.0,,,,,,,,,California State University-East Bay,Predominantly bachelor's-degree,Graduate
200,22679.0,7350.0,19950.0,,,,,,,,,California State University-Long Beach,Predominantly bachelor's-degree,Graduate
201,18403.0,7160.0,19760.0,,,,,,,,,California State University-Los Angeles,Predominantly bachelor's-degree,Graduate
202,20485.0,7458.0,20058.0,,,,,,,,,California State University-Northridge,Predominantly bachelor's-degree,Graduate
203,22945.0,8018.0,20618.0,,,,,,,,,California State University-Sacramento,Predominantly bachelor's-degree,Graduate
204,45619.0,16347.0,50547.0,,,,,,,,,University of California-Berkeley,Predominantly bachelor's-degree,Graduate
205,41238.0,16774.0,50974.0,,,,,,,,,University of California-Davis,Predominantly bachelor's-degree,Graduate
206,38632.0,15722.0,49922.0,,,,,,,,,University of California-Irvine,Predominantly bachelor's-degree,Graduate
207,38614.0,15203.0,49403.0,,,,,,,,,University of California-Los Angeles,Predominantly bachelor's-degree,Graduate
208,38942.0,15606.0,49806.0,,,,,,,,,University of California-Riverside,Predominantly bachelor's-degree,Graduate
209,38701.0,16758.0,50958.0,,,,,,,,,University of California-San Diego,Predominantly bachelor's-degree,Graduate
211,41573.0,16414.0,50614.0,,,,,,,,,University of California-Santa Barbara,Predominantly bachelor's-degree,Graduate
212,41179.0,16005.0,50205.0,,,,,,,,,University of California-Santa Cruz,Predominantly bachelor's-degree,Graduate
217,77560.0,58996.0,58996.0,,,,,,,,,California Institute of the Arts,Predominantly bachelor's-degree,Graduate
218,29853.0,9944.0,22544.0,,,,,,,,,California State University Maritime Academy,Predominantly bachelor's-degree,Graduate
220,9087.0,1332.0,11384.0,,,,,,,,,Canada College,Predominantly associate's-degree,Associate's
221,11360.0,1166.0,10958.0,,,,,,,,,College of the Canyons,Predominantly associate's-degree,Associate's
230,10236.0,1364.0,12004.0,,,,,,,,,Cerritos College,Predominantly certificate-degree,Associate's
231,25300.0,1384.0,11254.0,,,,,,,,,Cerro Coso Community College,Predominantly associate's-degree,Associate's
232,17456.0,1150.0,8686.0,,,,,,,,,Chabot College,Predominantly associate's-degree,Associate's
233,14451.0,1184.0,11120.0,,,,,,,,,Chaffey College,Predominantly associate's-degree,Associate's
234,83146.0,64984.0,64984.0,630.0,630.0,720.0,720.0,1357.0,28.0,31.0,29.0,Chapman University,Predominantly bachelor's-degree,Graduate
235,39834.0,23000.0,23000.0,,,,,,,,,Charles R Drew University of Medicine and Science,Predominantly bachelor's-degree,Graduate
236,58682.0,43480.0,43480.0,,,,,,,,25.0,Concordia University-Irvine,Predominantly bachelor's-degree,Graduate
237,31745.0,28012.0,28012.0,,,,,,,,,San Diego Christian College,Predominantly bachelor's-degree,Graduate
