latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.city,school.state,school.region_id,school.degrees_awarded.predominant,school.degrees_awarded.highest
19956.0,5100.0,8970.0,,,,,,,,,Enterprise State Community College,Enterprise,AL,Southeast,Associate,Associate
20605.0,5040.0,8910.0,,,,,,,,,Coastal Alabama Community College,Bay Minette,AL,Southeast,Certificate,Associate
37626.0,23920.0,23920.0,,,,,1020.0,18.0,21.0,20.0,Faulkner University,Montgomery,AL,Southeast,Bachelor,Graduate
10189.0,4272.0,7368.0,,,,,,,,,Gadsden State Community College,Gadsden,AL,Southeast,Certificate,Associate
9308.0,4980.0,8850.0,,,,,,,,,George C Wallace Community College-Dothan,Dothan,AL,Southeast,Certificate,Associate
19008.0,5220.0,9090.0,,,,,,,,,George C Wallace State Community College-Hanceville,Hanceville,AL,Southeast,Certificate,Associate
19175.0,4740.0,8610.0,,,,,,,,,George C Wallace State Community College-Selma,Selma,AL,Southeast,Certificate,Associate
27750.0,13450.0,13450.0,,,,,,,,,Herzing University-Birmingham,Birmingham,AL,Southeast,Associate,Bachelor
40908.0,29070.0,29070.0,533.0,473.0,610.0,610.0,1142.0,20.0,25.0,22.0,Huntingdon College,Montgomery,AL,Southeast,Bachelor,Graduate
20909.0,11982.0,11982.0,,,,,1020.0,18.0,19.0,,Heritage Christian University,Florence,AL,Southeast,Bachelor,Graduate
14456.0,5190.0,9060.0,,,,,,,,,J. F. Drake State Community and Technical College,Huntsville,AL,Southeast,Certificate,Associate
24257.0,12894.0,23334.0,500.0,500.0,630.0,660.0,1059.0,17.0,24.0,20.0,Jacksonville State University,Jacksonville,AL,Southeast,Bachelor,Graduate
14814.0,5100.0,8970.0,,,,,,,,,Jefferson State Community College,Birmingham,AL,Southeast,Associate,Associate
13073.0,5120.0,8990.0,,,,,,,,,John C Calhoun State Community College,Tanner,AL,Southeast,Certificate,Associate
14895.0,5040.0,8910.0,,,,,,,,,Lawson State Community College,Birmingham,AL,Southeast,Associate,Associate
22758.0,10990.0,20090.0,440.0,420.0,560.0,560.0,1015.0,16.0,21.0,19.0,University of West Alabama,Livingston,AL,Southeast,Bachelor,Graduate
12392.0,5190.0,9060.0,,,,,,,,,Lurleen B Wallace Community College,Andalusia,AL,Southeast,Associate,Associate
18743.0,9538.0,15538.0,520.0,520.0,640.0,630.0,1068.0,16.0,23.0,22.0,Marion Military Institute,Marion,AL,Southeast,Associate,Associate
21154.0,13314.0,13314.0,,,,,,,,,Miles College,Fairfield,AL,Southeast,Bachelor,Bachelor
41115.0,26910.0,26910.0,,,,,1220.0,22.0,28.0,,University of Mobile,Mobile,AL,Southeast,Bachelor,Graduate
27398.0,13948.0,26968.0,,,,,,,,23.0,University of Montevallo,Montevallo,AL,Southeast,Bachelor,Graduate
11340.0,5131.0,9001.0,,,,,,,,,Northwest Shoals Community College,Muscle Shoals,AL,Southeast,Certificate,Associate
23786.0,12120.0,22320.0,,,,,,,,,University of North Alabama,Florence,AL,Southeast,Bachelor,Graduate
11620.0,5040.0,8910.0,,,,,,,,,Northeast Alabama Community College,Rainsville,AL,Southeast,Certificate,Associate
40176.0,22512.0,22512.0,,,,,,,,,Oakwood University,Huntsville,AL,Southeast,Bachelor,Graduate
10739.0,5454.0,9324.0,,,,,,,,,Reid State Technical College,Evergreen,AL,Southeast,Certificate,Associate
13085.0,5340.0,9210.0,,,,,,,,,Bishop State Community College,Mobile,AL,Southeast,Certificate,Associate
57456.0,40150.0,40150.0,550.0,520.0,640.0,610.0,1201.0,22.0,28.0,26.0,Samford University,Birmingham,AL,Southeast,Bachelor,Graduate
20350.0,5127.0,8997.0,,,,,,,,,Shelton State Community College,Tuscaloosa,AL,Southeast,Certificate,Associate
