latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
10720.0,2250.0,4500.0,,,,,,,,,Central Arizona College,Certificate,Associate
14342.0,2280.0,6120.0,,,,,,,,,Cochise County Community College District,Associate,Associate
16696.0,2352.0,9552.0,,,,,,,,,Eastern Arizona College,Certificate,Associate
62798.0,44149.0,44149.0,580.0,560.0,680.0,690.0,1250.0,24.0,29.0,26.0,Embry-Riddle Aeronautical University-Prescott,Bachelor,Graduate
18037.0,2358.0,8958.0,,,,,,,,,Glendale Community College,Certificate,Associate
32702.0,17850.0,17850.0,518.0,488.0,580.0,533.0,1077.0,20.0,22.0,,Grand Canyon University,Bachelor,Graduate
19314.0,2358.0,8958.0,,,,,,,,,GateWay Community College,Certificate,Associate
18194.0,2358.0,8958.0,,,,,,,,,Mesa Community College,Certificate,Associate
11837.0,2208.0,7968.0,,,,,,,,,Mohave Community College,Certificate,Associate
11923.0,1410.0,1410.0,,,,,,,,,Dine College,Associate,Bachelor
29933.0,13009.0,29881.0,,,,,,,,,Northern Arizona University,Bachelor,Graduate
14263.0,2232.0,10320.0,,,,,,,,,Northland Pioneer College,Certificate,Associate
18594.0,2358.0,8958.0,,,,,,,,,Phoenix College,Certificate,Associate
9851.0,2442.0,7758.0,,,,,,,,,Pima Community College,Certificate,Associate
48532.0,35685.0,35685.0,,,,,,,,,Prescott College,Bachelor,Graduate
13425.0,2358.0,8958.0,,,,,,,,,Rio Salado College,Certificate,Associate
19281.0,2358.0,8958.0,,,,,,,,,Scottsdale Community College,Certificate,Associate
18898.0,2358.0,8958.0,,,,,,,,,South Mountain Community College,Certificate,Associate
54792.0,35098.0,35098.0,,,,,,,,20.0,Arizona Christian University,Bachelor,Bachelor
14988.0,2948.0,9486.0,,,,,,,,,Yavapai College,Certificate,Associate
22519.0,9748.0,22158.0,490.0,470.0,630.0,580.0,1049.0,17.0,24.0,22.0,University of Arkansas at Little Rock,Bachelor,Graduate
23060.0,8760.0,8760.0,,,,,,,,,Arkansas Baptist College,Bachelor,Bachelor
44978.0,31000.0,31000.0,,,,,,,,24.0,Lyon College,Bachelor,Bachelor
27767.0,10104.0,29966.0,520.0,510.0,620.0,600.0,1169.0,21.0,28.0,25.0,University of Arkansas,Bachelor,Graduate
21129.0,9412.0,17992.0,425.0,420.0,570.0,538.0,922.0,14.0,18.0,16.0,University of Arkansas at Pine Bluff,Bachelor,Graduate
18771.0,3336.0,5232.0,,,,,,,,,Arkansas State University-Beebe,Associate,Associate
25082.0,8090.0,14522.0,490.0,480.0,570.0,620.0,1090.0,18.0,24.0,23.0,Arkansas State University,Bachelor,Graduate
22808.0,8674.0,14668.0,450.0,430.0,550.0,550.0,1049.0,17.0,23.0,,Arkansas Tech University,Associate,Graduate
22519.0,9292.0,14857.0,,,,,,,,,University of Arkansas at Monticello,Certificate,Graduate
31961.0,13987.0,13987.0,,,,,,,,,Baptist Health College Little Rock,Associate,Associate
14374.0,4776.0,7488.0,,,,,,,,,Black River Technical College,Certificate,Associate
25029.0,10523.0,18023.0,480.0,430.0,590.0,580.0,1118.0,19.0,25.0,23.0,University of Central Arkansas,Bachelor,Graduate
30605.0,21330.0,21330.0,473.0,410.0,553.0,568.0,1046.0,17.0,23.0,21.0,Central Baptist College,Bachelor,Bachelor
11538.0,4200.0,5070.0,,,,,,,,,Cossatot Community College of the University of Arkansas,Certificate,Associate
27340.0,16670.0,16670.0,,,,,,,,,Crowley's Ridge College,Bachelor,Bachelor
13240.0,3300.0,4380.0,,,,,,,,,East Arkansas Community College,Certificate,Associate
19331.0,5600.0,7280.0,,,,,,,,,National Park College,Certificate,Associate
15808.0,3630.0,4662.0,,,,,,,,,University of Arkansas Community College-Batesville,Certificate,Associate
39534.0,26262.0,26262.0,530.0,520.0,660.0,630.0,1182.0,20.0,29.0,24.0,Harding University,Bachelor,Graduate
27385.0,8244.0,10620.0,,,,,,,,21.0,Henderson State University,Bachelor,Graduate
55013.0,38200.0,38200.0,560.0,563.0,668.0,680.0,1282.0,23.0,31.0,28.0,Hendrix College,Bachelor,Graduate
44710.0,31756.0,31756.0,550.0,520.0,690.0,650.0,1195.0,21.0,28.0,26.0,John Brown University,Bachelor,Graduate
14365.0,3216.0,4824.0,,,,,,,,,Arkansas State University Mid-South,Certificate,Associate
12094.0,2570.0,4250.0,,,,,,,,,Arkansas Northeastern College,Certificate,Associate
16846.0,3504.0,5592.0,,,,,,,,,North Arkansas College,Certificate,Associate
19487.0,6277.0,6277.0,,,,,,,,,Northwest Technical Institute,Certificate,Certificate
47321.0,34500.0,34500.0,540.0,530.0,650.0,630.0,1211.0,22.0,28.0,,Ouachita Baptist University,Bachelor,Graduate
14579.0,3788.0,4388.0,,,,,,,,,Arkansas State University Three Rivers,Certificate,Associate
12069.0,3820.0,6820.0,,,,,,,,,Ozarka College,Certificate,Associate
38666.0,25950.0,25950.0,530.0,490.0,590.0,570.0,1105.0,20.0,25.0,21.0,University of the Ozarks,Bachelor,Bachelor
15362.0,3648.0,4728.0,,,,,1020.0,17.0,22.0,,University of Arkansas Community College-Morrilton,Certificate,Associate
28136.0,13014.0,13014.0,,,,,,,,,Philander Smith University,Bachelor,Graduate
11567.0,3380.0,4550.0,,,,,,,,,Phillips Community College of the University of Arkansas,Certificate,Associate
22405.0,5200.0,8650.0,,,,,,,,,Southeast Arkansas College,Certificate,Associate
20811.0,6300.0,9450.0,,,,,,,,,University of Arkansas-Pulaski Technical College,Certificate,Associate
